benchmark,qid,question,gold_answer,reference_date,manual_temporal_type,gold_fact_ids,conflict_fact_ids,annotation_source,adjudication_provenance,author_notes
longmemeval,gpt4_8279ba03,What kitchen appliance did I buy 10 days ago?,a smoker,2023/03/25 (Sat) 18:26,historical-state,fact_cd6335bf6d8036bf,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_85da3956,How many weeks ago did I attend the 'Summer Nights' festival at Universal Studios Hollywood?,3 weeks ago,2023/08/05 (Sat) 08:21,duration,fact_ce77b8e3339d3400,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_8e165409,"How many days passed between the day I repotted the previous spider plant and the day I gave my neighbor, Mrs. Johnson, a few cuttings from my spider plant?",14 days. 15 days (including the last day) is also acceptable.,2023/03/26 (Sun) 15:53,duration,fact_88546275a3d52cde;fact_e602a0e26bad68ea,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_93159ced,How long have I been working before I started my current job at NovaTech?,4 years and 9 months,2023/05/25 (Thu) 19:17,duration,fact_30b18369699cdac5;fact_5623d5b50fc178f2,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_98f46fc6,"Which event did I participate in first, the charity gala or the charity bake sale?",I participated in the charity bake sale first.,2023/05/01 (Mon) 12:15,ordering,fact_05f661c249474450;fact_6baf2dde7c8508ee;fact_f829a6a20d58b9e5,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_a1b77f9c,How many weeks in total do I spent on reading 'The Nightingale' and listening to 'Sapiens: A Brief History of Humankind' and 'The Power'?,"2 weeks for 'The Nightingale', 4 weeks for 'Sapiens: A Brief History of Humankind', and 2 weeks for 'The Power', so a total of 8 weeks.",2022/04/30 (Sat) 13:22,duration,fact_30a1b47cbb1b4683;fact_803ce40645609ba8;fact_9db4bfbb1dd2b734;fact_b2add9adae328acd;fact_bbf02a51fd8a266c;fact_c6ec3fdd50419bf5,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_a2d1d1f6,How many days ago did I harvest my first batch of fresh herbs from the herb garden kit?,3 days ago. 4 days (including the last day) is also acceptable.,2023/04/18 (Tue) 01:48,duration,fact_cd07720e06977e41,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_af6db32f,How many days ago did I watch the Super Bowl?,17 days ago. 18 days (including the last day) is also acceptable.,2023/03/01 (Wed) 19:28,duration,fact_3de06030c62a7ede,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_b0863698,How many days ago did I participate in the 5K charity run?,7 days ago. 8 days (including the last day) is also acceptable.,2023/03/26 (Sun) 04:13,duration,fact_6b7557a9c357e496,fact_3642cca6834c1789,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_b4a80587,"Which event happened first, the road trip to the coast or the arrival of the new prime lens?",The arrival of the new prime lens,2023/05/23 (Tue) 04:05,ordering,fact_6a98b2664e6e53d7;fact_0d41988011de40c7;fact_100fe0c1cb83887b,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_b5700ca0,Where did I attend the religious activity last week?,the Episcopal Church,2023/04/10 (Mon) 13:35,historical-state,fact_5753155e155bfb88,,hybrid_author_adjudicated,author_accepted_independent,The selected fact directly locates the religious activity at the Episcopal Church.
longmemeval,gpt4_b5700ca9,How many days ago did I attend the Maundy Thursday service at the Episcopal Church?,4 days.,2023/04/10 (Mon) 10:28,duration,fact_38142b6383a6fbb3,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_d6585ce8,"What is the order of the concerts and musical events I attended in the past two months, starting from the earliest?","The order of the concerts I attended is: 1. Billie Eilish concert at the Wells Fargo Center in Philly, 2. Free outdoor concert series in the park, 3. Music festival in Brooklyn, 4. Jazz night at a local bar, 5. Queen + Adam Lambert concert at the Prudential Center in Newark, NJ.",2023/04/22 (Sat) 19:31,ordering,fact_0708cc9da96b9023;fact_753f99b5d8b2bd5c;fact_8aa3444555c48a48;fact_b428a39a7e6f3bbc;fact_cdb573a407ffea85,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_d6585ce9,Who did I go with to the music event last Saturday?,my parents,2023/04/22 (Sat) 08:01,current-vs-old,fact_7a7f561ebd16ee45,fact_6ee069f297b09927;fact_78e97be6c7d9b492;fact_1382b2352009bf45;fact_19590f98defc8542,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_e061b84f,"What is the order of the three sports events I participated in during the past month, from earliest to latest?","I first completed the Spring Sprint Triathlon, then took part in the Midsummer 5K Run, and finally participated in the company's annual charity soccer tournament.",2023/07/01 (Sat) 20:43,ordering,fact_0d7cbd3496653494;fact_0f25212838f31029;fact_2d8a57e079a9d9dc,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_e061b84g,I mentioned participating in a sports event two weeks ago. What was the event?,The company's annual charity soccer tournament.,2023/07/01 (Sat) 13:38,historical-state,fact_83818091d8df42be,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_e072b769,How many weeks ago did I start using the cashback app 'Ibotta'?,3 weeks ago,2023/05/06 (Sat) 09:18,duration,fact_3fb0e4b373709653,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_e414231e,How many days passed between the day I fixed my mountain bike and the day I decided to upgrade my road bike's pedals?,4 days. 5 days (including the last day) is also acceptable.,2023/04/10 (Mon) 20:29,duration,fact_67d787b52e537969;fact_7a75d309bc230a41,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_ec93e27f,"Which mode of transport did I use most recently, a bus or a train?",train,2023/05/02 (Tue) 08:12,current-vs-old,fact_a1c7925413914498;fact_e41f16ef8ccfed8a;fact_540a6dc3c7b2a337;fact_eb0dd9804eb0d9b9,,hybrid_author_adjudicated,author_custom,The March 3 train ride is later than the documented January/February bus uses; train plans were removed.
longmemeval,gpt4_f420262c,What is the order of airlines I flew with from earliest to latest before today?,"JetBlue, Delta, United, American Airlines",2023/03/02 (Thu) 06:11,ordering,fact_0a539ad70c0200a5;fact_2637c426d3dbe961;fact_4e2aefd23ac17c58;fact_70a23fc2548e0b38,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_f420262d,What was the airline that I flied with on Valentine's day?,American Airlines,2023/03/02 (Thu) 08:00,historical-state,fact_9b397ed7bdd1fc00,fact_531e32c612001feb;fact_80ab885129d65ebf,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_f49edff3,"Which three events happened in the order from first to last: the day I helped my friend prepare the nursery, the day I helped my cousin pick out stuff for her baby shower, and the day I ordered a customized phone case for my friend's birthday?","First, I helped my friend prepare the nursery, then I helped my cousin pick out stuff for her baby shower, and lastly, I ordered a customized phone case for my friend's birthday.",2023/03/22 (Wed) 21:49,ordering,fact_46454f79997360be;fact_db0636bfada1dc6a;fact_fbf8a4ab3c2c28c1,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_fa19884c,How many days passed between the day I started playing along to my favorite songs on my old keyboard and the day I discovered a bluegrass band?,6 days. 7 days (including the last day) is also acceptable.,2023/04/05 (Wed) 09:11,duration,fact_2874cfc00dd5a8f9;fact_708ccd7b971caf61,,hybrid_author_adjudicated,stable_model_assisted,
longmemeval,gpt4_fa19884d,What is the artist that I started to listen to last Friday?,a bluegrass band that features a banjo player,2023/04/05 (Wed) 19:25,current-vs-old,fact_b0794466f8d3b712,fact_5b4226e6c4772ad7;fact_bc6dcacee4639f90;fact_2dca0f7fcffc2c2e,hybrid_author_adjudicated,stable_model_assisted,
